Geneid_i5k (limma),P1_logFC_i5k (limma),P1_pvalue_i5k (limma),P4_logFC_i5k (limma),P4_pvalue_i5k (limma),Geneid_Melbourne (limma),P1_logFC_Melbourne (limma),P1_pvalue_Melbourne (limma),P4_logFC_Melbourne (limma),P4_pvalue_Melbourne (limma)
ref|XM_023435079.1|,0.981285906,0.556840642,1.038133596,0.708945335,KNC20558,1.01E-01,0.72130617,-6.31E-02,0.897902898
ref|XM_023435080.1|,-0.313977446,0.837412053,-1.131638556,0.322108969,KNC20559,-1.26E-01,0.53755183,-1.13E-01,0.799849845
ref|XM_023435081.1|,0.254658669,0.545104812,0.291892172,0.528063686,KNC20560,-2.84E-01,0.09746948,-4.91E-02,0.896364216
ref|XM_023435082.1|,-0.270169946,0.921030202,-0.913894228,0.711986092,KNC20561,1.68E-01,0.23300516,1.26E-01,0.369282879
ref|XM_023435083.1|,-0.291670517,0.699288905,0.395225264,0.301883451,KNC20562,1.16E-01,0.77116973,-1.78E-01,0.624010228
ref|XM_023435084.1|,-0.799281273,0.405775673,0.163629151,0.289133826,KNC20563,3.52E-01,0.61990753,5.26E-01,0.63561193
ref|XM_023435085.1|,0.144880184,0.946347765,0.666836726,0.733765352,KNC20564,-1.48E-02,0.97217427,-5.76E-02,0.884696811
ref|XM_023435086.1|,0.663253393,0.16920163,0.255432764,0.598245633,KNC20565,-3.98E-01,0.65186325,-6.97E-02,0.950579027
ref|XM_023435087.1|,-0.105845779,0.878502913,0.048421715,0.945158351,KNC20566,1.82E-02,0.92551678,1.26E-02,0.968198294
ref|XM_023435088.1|,0.047728535,0.918960373,-0.103935669,0.782307275,KNC20567,1.30E-01,0.37419327,1.85E-02,0.966980588
ref|XM_023435089.1|,-0.400439446,0.728475712,0.1819118,0.855267387,KNC20568,7.09E-02,0.72600778,-5.74E-02,0.883737351
ref|XM_023435090.1|,-0.432206626,0.215975434,-0.421279873,0.434886464,KNC20569,7.03E-02,0.83311977,-3.72E-02,0.8746665
ref|XM_023435091.1|,-0.066594778,0.918908318,0.062188917,0.957992976,KNC20570,5.97E-02,0.72247039,1.07E-01,0.527976839
ref|XM_023435092.1|,-0.139338829,0.906830117,-0.164227175,0.878875792,KNC20571,1.44E-01,0.41251747,-4.51E-02,0.850378104
ref|XM_023435093.1|,0.062954243,0.913241957,0.019768233,0.965339858,KNC20572,2.52E-02,0.95267794,-1.09E-01,0.849558907
ref|XM_023435094.1|,-0.470479547,0.698204524,-0.250953382,0.450444651,KNC20573,-2.82E-01,0.46454108,2.80E-02,0.968198294
ref|XM_023435095.1|,-0.104456051,0.366640902,0.050661167,0.810592445,KNC20574,-6.09E-02,0.91972999,-6.53E-02,0.925326542
