Geneid_Ls,Transcript_ID,Treatment_logFC,Treatment_pvalue,Interaction_logFC,Interaction_pvalue,P_4_logFC,P_4_pvalue,P_1_logFC,P_1_pvalue
1,XM_037949296.1,0.206592073,0.92722684,0.636035791,0.555787142,0.49847638,0.556389119,-0.153045037,0.871423134
2,XM_037949297.1,-0.173647332,0.961089743,2.048802038,0.168368215,0.913869762,0.660671421,-1.115051757,0.19405465
3,XM_037949298.1,-0.305852734,0.92722684,0.830277923,0.638766888,0.103597913,0.975644965,-0.703654501,0.35833815
4,XM_037949299.1,0.565722595,0.92722684,1.962944014,0.537487394,1.630214447,0.498825679,-0.333071596,0.902715181
5,XM_037949300.1,0.554634783,0.92722684,0.980790773,0.742767314,1.172020226,0.62040981,0.192497768,0.914569894
6,XM_037949301.1,0.549540698,0.92722684,0.678816618,0.880992466,0.929921476,0.798805853,0.255906815,0.912587994
7,XM_037949302.1,-0.057132333,0.955131318,-0.197321461,0.845356846,-0.150550963,0.688065986,0.042698435,0.965986232
8,XM_037949303.1,-1.167295905,0.92722684,-3.080885846,0.277505284,-2.057794081,0.474383595,1.035232147,0.748184543
9,XM_037949304.1,0.428373047,0.92722684,0.54672336,0.889298054,0.763071827,0.814754747,0.220527829,0.912234233
10,XM_037949305.1,-0.170055465,0.97502846,1.415841846,0.744293222,0.629280837,0.903158915,-0.786520908,0.756499011
11,XM_037949306.1,-0.613547811,0.92722684,0.628037808,0.884834156,-0.295779399,0.948234767,-0.913171833,0.592904923
12,XM_037949307.1,-0.05535161,0.973971297,0.769326876,0.370333241,0.25866716,0.643100278,-0.517338338,0.522730979
13,XM_037949308.1,0.003695495,0.996365674,-0.120594386,0.91353429,-0.058260156,0.963016491,0.052213465,0.930901053
14,XM_037949309.1,0.056369831,0.92722684,0.056756747,0.892503209,0.084381355,0.706671121,0.022644345,0.944100245
15,XM_037949310.1,0.012177537,0.992448155,0.077514123,0.965592279,0.04248059,0.975644965,-0.046015266,0.970734181
16,XM_037949311.1,0.172901725,0.952971762,0.322538832,0.925670937,0.300678521,0.893993381,-0.023613066,0.993843195
17,XM_037949312.1,-0.095533161,0.92722684,0.21851104,0.761350981,0.017569901,0.980795936,-0.20809546,0.532293174
18,XM_037949313.1,0.054976013,0.92722684,0.186966339,0.732914436,0.146852297,0.726166014,-0.045021694,0.915041183
19,XM_037949314.1,-0.11154554,0.92722684,-0.082368033,0.931283377,-0.153370018,0.832590863,-0.075754405,0.872025503
20,XM_037949315.1,-0.199753466,0.92722684,-0.628736669,0.607055431,-0.46918772,0.644086991,0.169201733,0.873445639
21,XM_037949316.1,-0.189936618,0.92722684,0.280794278,0.685053082,-0.069447022,0.946862715,-0.352248324,0.19405465
22,XM_037949317.1,-0.032850209,0.92722684,-0.006364057,0.989178612,-0.036866581,0.879470627,-0.035645933,0.877350618
23,XM_037949318.1,0.033582114,0.987653919,-0.356612283,0.880800795,-0.142105418,0.94462134,0.206626012,0.883613206
24,XM_037949319.1,0.268299645,0.92722684,-1.158929322,0.439343312,-0.2515572,0.87748275,0.911710205,0.365620518
25,XM_037949320.1,-0.378450572,0.92722684,1.474405102,0.329638282,0.194600993,0.908704678,-1.279560595,0.3468481
26,XM_037949321.1,-0.032185213,0.97636452,0.511287072,0.436800939,0.220680778,0.738647708,-0.29953731,0.565934156
27,XM_037949322.1,0.135817365,0.961557507,-0.252565653,0.934846949,-0.001717885,0.999340528,0.231463164,0.862192585
28,XM_037949323.1,0.147601121,0.92722684,-0.244584565,0.726329626,0.025447226,0.974526708,0.260217275,0.508851368
29,XM_037949324.1,-0.092211532,0.92722684,0.308561451,0.418850601,0.069203692,0.887327539,-0.243278319,0.360645477
30,XM_037949325.1,0.044549499,0.984508198,0.593363371,0.766856384,0.338314059,0.876048012,-0.2497533,0.836690236
31,XM_037949326.1,0.010239163,0.993762444,0.571877031,0.535666816,0.276963695,0.758715416,-0.301551572,0.666596567
32,XM_037949327.1,0.078990275,0.92722684,-0.201112004,0.704450853,-0.01625561,0.980253068,0.177430154,0.581419869
33,XM_037949328.1,0.09229591,0.92722684,0.149881947,0.892784109,0.158273087,0.474383595,0.014298725,0.990122782
34,XM_037949329.1,-0.046618377,0.92722684,0.433763929,0.072673412,0.158273087,0.474383595,-0.275053901,0.19405465
35,XM_037949330.1,-0.046618377,0.92722684,0.433763929,0.072673412,0.158273087,0.474383595,-0.275053901,0.19405465
36,XM_037949331.1,0.106888135,0.92722684,0.119934952,0.925122212,0.158273087,0.474383595,0.044910182,0.970650776
37,XM_037949332.1,0.546674015,0.92722684,0.476982289,0.874791409,0.735232533,0.647977591,0.254867302,0.867215591
38,XM_037949333.1,-0.350863473,0.92722684,-0.192254915,0.924350601,-0.438225445,0.688446329,-0.250224685,0.769553046
39,XM_037949334.1,-0.085443617,0.92722684,0.085169712,0.921013253,-0.047304237,0.946754293,-0.134643889,0.766152307
40,XM_037949335.1,0.045664698,0.97636452,0.552864796,0.624869735,0.344408138,0.775673112,-0.211728479,0.785553875
41,XM_037949336.1,-0.258691255,0.92722684,-0.731759312,0.580198372,-0.620337319,0.474383595,0.110490867,0.943669459
42,XM_037949337.1,-0.050642162,0.92722684,-0.070996059,0.903356067,-0.085506757,0.786155913,-0.019054964,0.964537527
43,XM_037949338.1,-0.00348613,0.994470449,-0.002433374,0.997014535,-0.005644869,0.986674139,-0.005871408,0.989667291
