Geneid_Ls,Transcript_ID,Treatment_logFC,Treatment_pvalue,Interaction_logFC,Interaction_pvalue,A_4_logFC,A_4_pvalue,A_1_logFC,A_1_pvalue
1,XM_037949296.1,0.246688602,0.940472152,-0.022758619,0.993244085,0.208354352,0.827040084,0.276875897,0.798926068
2,XM_037949297.1,0.764092417,0.902679762,0.245513174,0.971304861,0.894239526,0.705704219,0.653828392,0.801062507
3,XM_037949298.1,-0.287640376,0.960427631,-0.459129279,0.866874404,-0.519330307,0.705704219,-0.029623651,0.989303883
4,XM_037949299.1,2.009565684,0.732856503,2.366428002,0.705726368,3.21435045,0.378107498,0.824746456,0.798926068
5,XM_037949300.1,1.223967997,0.745720227,0.500737316,0.91818814,1.508146313,0.599811312,1.011739275,0.798926068
6,XM_037949301.1,2.044012542,0.301083895,1.491625037,0.705726368,2.759247376,0.285198483,1.27022905,0.798926068
7,XM_037949302.1,0.037644194,0.998595756,-0.073196188,0.961160303,0.00754023,0.984023803,0.086408319,0.93438162
8,XM_037949303.1,0.554411789,0.895368866,-1.21602169,0.751187632,0.343962258,0.705704219,1.587981137,0.798926068
9,XM_037949304.1,1.272369556,0.754290378,0.335719213,0.95387846,1.45752535,0.654195561,1.121236556,0.798926068
10,XM_037949305.1,0.193094401,0.998595756,1.825457972,0.710382511,1.254377804,0.705704219,-0.533508805,0.866879855
11,XM_037949306.1,-0.133183608,0.998595756,1.041595421,0.847050252,0.417660238,0.903727075,-0.567555773,0.815739298
12,XM_037949307.1,-0.129840349,0.979076557,-0.231719388,0.915756955,-0.224276893,0.705704219,0.017872691,0.992599746
13,XM_037949308.1,-0.099940841,0.96445584,0.233682494,0.776204803,0.013965961,0.972782573,-0.227458296,0.798926068
14,XM_037949309.1,0.010564248,0.998595756,0.172309828,0.705726368,0.087642009,0.705704219,-0.08689353,0.798926068
15,XM_037949310.1,0.193305432,0.963750383,-0.034921588,0.988269969,0.173211581,0.825951843,0.222934612,0.839973645
16,XM_037949311.1,0.428752785,0.940356475,0.825569355,0.799453981,0.725957307,0.705704219,-0.078903692,0.980040593
17,XM_037949312.1,-0.128222414,0.906587991,0.08165094,0.945741181,-0.087109316,0.755535134,-0.168081284,0.798926068
18,XM_037949313.1,-0.183067691,0.763392162,0.002712973,0.996899336,-0.18299688,0.674287192,-0.190560953,0.798926068
19,XM_037949314.1,0.091042634,0.971351467,-0.2650744,0.705726368,-0.035287495,0.938182894,0.233707705,0.798926068
20,XM_037949315.1,0.355158742,0.833943027,0.352719508,0.859672004,0.466452752,0.663746253,0.128918907,0.939304679
21,XM_037949316.1,-0.20174306,0.84793217,-0.154160854,0.902762054,-0.270922772,0.705704219,-0.112542175,0.798926068
22,XM_037949317.1,-0.02286633,0.998595756,-0.097946896,0.764509,-0.071252451,0.705704219,0.030246336,0.927465451
23,XM_037949318.1,-0.357367112,0.914050652,0.484791615,0.846345412,-0.126395035,0.902780033,-0.597843138,0.798926068
24,XM_037949319.1,0.588510409,0.812446313,-0.127572504,0.973627055,0.55383229,0.593407346,0.689285697,0.798926068
25,XM_037949320.1,-0.313616871,0.97884941,1.907717393,0.705726368,0.552380083,0.705704219,-1.363229052,0.798926068
26,XM_037949321.1,-0.11234097,0.979813726,-0.235853224,0.891554719,-0.2314597,0.705704219,0.008791993,0.995502828
27,XM_037949322.1,-0.192950062,0.97884941,-0.412820655,0.883656577,-0.427911395,0.774348469,-0.011919157,0.993778839
28,XM_037949323.1,0.161162701,0.882984797,0.033155763,0.979916558,0.176765242,0.705704219,0.138733723,0.814387435
29,XM_037949324.1,-0.123076905,0.914050652,0.458769734,0.705726368,0.103843893,0.776141404,-0.353252657,0.798926068
30,XM_037949325.1,0.307324529,0.940472152,0.307800502,0.92374865,0.482633093,0.705704219,0.165276629,0.923397079
31,XM_037949326.1,-0.00989695,0.998595756,-0.226759924,0.909135549,-0.122622092,0.88358204,0.111293624,0.918373126
32,XM_037949327.1,-0.005207559,0.998595756,-0.053722508,0.961160303,-0.029021983,0.936928322,0.022025412,0.975401398
33,XM_037949328.1,0.261603253,0.85075863,0.328020409,0.786408764,0.429550415,0.705704219,0.10721841,0.798926068
34,XM_037949329.1,0.000691851,0.998595756,-0.191464493,0.705726368,-0.092763199,0.705704219,0.10721841,0.798926068
35,XM_037949330.1,0.000691851,0.998595756,-0.191464493,0.705726368,-0.092763199,0.705704219,0.10721841,0.798926068
36,XM_037949331.1,0.000691851,0.998595756,-0.191464493,0.705726368,-0.092763199,0.705704219,0.10721841,0.798926068
37,XM_037949332.1,0.67208639,0.827189249,0.515220683,0.890724504,0.861408494,0.674377993,0.353776122,0.843320871
38,XM_037949333.1,-0.241325642,0.975557343,-1.172049398,0.705726368,-0.785410997,0.693557594,0.391707152,0.798926068
39,XM_037949334.1,0.1288095,0.896906961,-0.272084824,0.705726368,-0.002648576,0.995340137,0.279498418,0.798926068
40,XM_037949335.1,0.094735803,0.998595756,0.602492775,0.748125749,0.415936694,0.738739515,-0.192721744,0.835804848
41,XM_037949336.1,-0.007155056,0.998595756,0.428921515,0.851330947,0.158720178,0.781527718,-0.267455103,0.886029331
42,XM_037949337.1,-0.01812412,0.998595756,-0.048394458,0.950097308,-0.041644346,0.856657055,0.01018342,0.981158598
43,XM_037949338.1,0.103475933,0.830274041,-0.212935945,0.705726368,0.004955056,0.973214155,0.224151837,0.798926068
44,XM_037949339.1,0.06033742,0.991536412,-0.291662,0.705726368,-0.067201958,0.733930263,0.232279255,0.798926068
45,XM_037949340.1,-0.166617129,0.998595756,0.456689558,0.95058101,0.085532617,0.982145789,-0.358754496,0.857058507
46,XM_037949341.1,-0.025598591,0.998595756,-0.518475814,0.754103684,-0.291868285,0.774322038,0.228595972,0.799343491
